Prix_de_vente,CONDO,5PLEX_ET_MOINS,6PLEX_ET_PLUS,UNIFAMILIALE,ETAGES,AGE,AIRE_HABITABLE,TAXES_AN,Prox_Parc,Prox_Metro
2999000,0,1,0,0,2,100,274,9606,0,0
980000,0,1,0,0,2,100,162,5026,0,0
1927500,0,1,0,0,2,115,267,9967,0,1
730000,0,1,0,0,2,103,158,4074,1,0
754000,0,1,0,0,2,115,187,5909,0,0
895000,0,1,0,0,2,101,213,5875,0,0
730000,0,1,0,0,2,100,153,4679,1,1
1050000,0,1,0,0,3,115,275,7487,0,1
1165000,0,1,0,0,3,101,392,7391,0,0
930000,0,1,0,0,3,115,287,6858,0,0
1590000,0,1,0,0,4,106,319,10618,0,0
1275000,0,1,0,0,3,115,342,9322,0,0
1500000,0,1,0,0,3,97,277,6711,0,0
950000,0,1,0,0,3,115,320,9244,0,0
1050000,0,1,0,0,1,106,251,6044,0,1
997500,0,1,0,0,3,115,331,8260,0,0
1500000,0,1,0,0,3,88,289,9680,0,0
915000,0,1,0,0,3,115,256,6387,0,0
1115000,0,1,0,0,3,115,253,6360,0,0
900000,0,1,0,0,3,106,299,7241,0,0
1145000,0,1,0,0,3,115,298,6647,0,1
965000,0,1,0,0,2,60,211,6699,0,0
850000,0,1,0,0,3,115,267,7979,0,1
1260000,0,1,0,0,3,106,300,8796,1,1
967700,0,1,0,0,2,115,224,5701,0,1
800000,0,1,0,0,2,106,187,6639,0,1
854500,0,1,0,0,3,106,201,5852,0,0
1350000,0,1,0,0,3,106,259,7041,0,0
1100000,0,1,0,0,3,106,316,6309,1,1
1242800,0,1,0,0,3,115,307,8078,0,0
1675000,0,1,0,0,3,103,406,9448,0,0
1410000,0,1,0,0,3,106,380,9309,0,0
935000,0,1,0,0,3,115,236,5043,0,0
950000,0,1,0,0,3,115,279,6745,0,0
1050000,0,1,0,0,3,106,314,8951,0,1
1880000,0,1,0,0,3,108,446,8756,0,0
1125000,0,1,0,0,3,115,240,6274,0,1
1300000,0,1,0,0,2,115,207,10238,0,0
950000,0,1,0,0,2,115,207,10238,0,0
1250000,0,1,0,0,2,115,176,5797,0,0
610000,0,1,0,0,3,106,272,10864,1,1
825000,0,1,0,0,2,68,205,6671,0,1
814000,0,1,0,0,2,68,205,6671,0,1
900000,0,1,0,0,3,111,223,6832,0,0
1026000,0,1,0,0,3,110,262,6183,0,0
900000,0,1,0,0,3,115,251,5862,0,0
920000,0,1,0,0,2,115,181,5832,1,1
1181300,0,1,0,0,3,115,342,8581,0,0
725000,0,1,0,0,3,112,280,6516,0,0
630000,0,1,0,0,3,103,242,6093,0,0
1025000,0,1,0,0,3,105,218,7367,0,0
870000,0,1,0,0,2,82,217,6409,1,1
1050000,0,1,0,0,2,110,213,8208,0,1
1848070,0,1,0,0,3,125,280,11313,0,1
1089000,0,1,0,0,3,110,373,6933,0,0
1090000,0,1,0,0,3,110,280,7161,0,0
1120000,0,1,0,0,3,110,280,10905,0,0
750000,0,1,0,0,2,140,483,8638,0,0
2320000,0,1,0,0,3,110,258,10430,0,0
1250000,0,1,0,0,2,75,455,7153,0,0
1250000,0,1,0,0,2,110,243,11286,0,0
525000,0,1,0,0,2,102,378,8525,1,1
995600,0,1,0,0,3,104,360,6471,1,1
2059701,0,1,0,0,3,110,433,8484,0,1
2280298,0,1,0,0,3,110,411,9393,0,1
1030000,0,1,0,0,3,110,414,7765,1,1
1315000,0,1,0,0,3,111,348,9804,0,0
1150000,0,1,0,0,3,96,446,8740,0,0
935000,0,1,0,0,3,113,265,6552,1,0
1755000,0,1,0,0,3,110,389,9901,0,0
727000,0,1,0,0,3,98,465,17838,0,0
1000000,0,1,0,0,3,115,336,9149,0,0
1275000,0,1,0,0,3,101,363,11240,0,0
930000,0,1,0,0,3,93,301,6278,0,0
1230000,0,1,0,0,3,93,301,6191,0,0
1373500,0,1,0,0,3,115,279,8427,0,0
1075000,0,1,0,0,3,115,281,7641,0,0
1300000,0,1,0,0,3,110,293,7252,0,0
1215000,0,1,0,0,3,111,349,8233,0,0
1470000,0,1,0,0,2,85,322,8275,0,0
1750000,0,1,0,0,3,99,544,14445,0,0
1250000,0,1,0,0,3,104,281,6825,0,0
2146500,0,1,0,0,3,115,325,10566,0,0
385000,0,1,0,0,3,96,465,10262,0,0
478000,0,1,0,0,3,94,517,12707,0,0
1900000,0,1,0,0,3,95,486,12002,0,0
2450000,0,1,0,0,3,104,458,16965,1,1
1785000,0,0,1,0,3,99,383,10011,0,0
1140000,0,0,1,0,3,115,373,6750,0,0
1170000,0,0,1,0,3,102,346,8345,0,0
1890000,0,0,1,0,3,117,418,7162,0,0
208333,0,0,1,0,3,115,649,9851,0,0
1550000,0,0,1,0,3,102,468,11259,0,0
1123500,0,0,1,0,3,115,382,7580,0,0
2200000,0,0,1,0,3,111,378,11863,0,1
500000,0,0,1,0,3,102,265,9240,0,1
1091726,0,0,1,0,3,115,352,7768,0,0
1060000,0,0,1,0,2,80,329,11545,0,0
500000,0,0,1,0,3,69,379,6871,1,0
1275000,0,0,1,0,3,111,328,4893,1,0
1275000,0,0,1,0,3,100,431,11089,0,0
1510000,0,0,1,0,3,83,414,9190,1,0
1575000,0,0,1,0,3,99,470,10349,0,0
